epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2055.38,0.66847,0.36408,0.82306,0.98887,1,0.99072,0.82528,0.72704,0.34319,0.8245,0.00049114,0.00049114,0.00049114
59,2087.73,0.70646,0.37817,0.83285,0.9891,1,0.99048,0.83219,0.69753,0.34835,0.82026,0.000470511,0.000470511,0.000470511
60,2120.07,0.68086,0.36507,0.82238,0.98925,1,0.99137,0.83107,0.70701,0.33274,0.82107,0.000449882,0.000449882,0.000449882
61,2152.68,0.67996,0.36804,0.82877,0.98881,1,0.99114,0.8545,0.63552,0.32455,0.81137,0.000429253,0.000429253,0.000429253
62,2185.15,0.67062,0.35854,0.82175,0.98853,1,0.99118,0.82327,0.77462,0.35455,0.82977,0.000408623,0.000408623,0.000408623
63,2217.71,0.65192,0.35454,0.82094,0.98882,1,0.98756,0.81578,0.74316,0.33185,0.82773,0.000387994,0.000387994,0.000387994
64,2249.78,0.6747,0.36276,0.82263,0.98889,1,0.98854,0.79695,0.81462,0.34761,0.84055,0.000367365,0.000367365,0.000367365
65,2282.44,0.67415,0.35663,0.83157,0.9888,1,0.98868,0.8389,0.65058,0.32516,0.81459,0.000346736,0.000346736,0.000346736
66,2315.89,0.66739,0.35309,0.82369,0.98886,1,0.98837,0.78487,0.87879,0.35618,0.84844,0.000326107,0.000326107,0.000326107
67,2347.71,0.67442,0.35522,0.83114,0.98925,1,0.98753,0.82318,0.73403,0.32863,0.82617,0.000305478,0.000305478,0.000305478
68,2380.68,0.64007,0.34891,0.82152,0.98917,1,0.98621,0.80979,0.77906,0.33285,0.83361,0.000284849,0.000284849,0.000284849
69,2412.54,0.64751,0.35265,0.82142,0.98893,1,0.98717,0.82867,0.73599,0.3329,0.82676,0.00026422,0.00026422,0.00026422
70,2445.12,0.63593,0.3462,0.82143,0.98885,1,0.98891,0.80948,0.78756,0.34392,0.83377,0.00024359,0.00024359,0.00024359
71,2477.05,0.61144,0.34177,0.81667,0.98892,1,0.98865,0.76181,0.93546,0.37013,0.86172,0.000222961,0.000222961,0.000222961
72,2508.95,0.5954,0.32619,0.82775,0.98885,1,0.9853,0.80713,0.73842,0.32727,0.82665,0.000202332,0.000202332,0.000202332
73,2540.71,0.58528,0.32281,0.82084,0.98887,1,0.98581,0.7779,0.85027,0.35149,0.84684,0.000181703,0.000181703,0.000181703
74,2572.38,0.60043,0.32374,0.81648,0.98885,1,0.98641,0.77927,0.86029,0.35014,0.85043,0.000161074,0.000161074,0.000161074
75,2604.26,0.59823,0.32334,0.82359,0.98903,1,0.98591,0.81269,0.75481,0.32655,0.83065,0.000140445,0.000140445,0.000140445
76,2636.2,0.58659,0.32362,0.82252,0.989,1,0.98672,0.77552,0.85337,0.3493,0.84821,0.000119816,0.000119816,0.000119816
77,2667.82,0.58547,0.31624,0.82024,0.98902,1,0.98761,0.78717,0.84356,0.34777,0.84712,9.91865e-05,9.91865e-05,9.91865e-05
78,2700.09,0.5766,0.31304,0.80927,0.98904,1,0.98793,0.80673,0.77173,0.32878,0.8347,7.85574e-05,7.85574e-05,7.85574e-05
79,2731.48,0.5732,0.31222,0.80877,0.98901,1,0.98862,0.7972,0.81265,0.33819,0.84273,5.79283e-05,5.79283e-05,5.79283e-05
80,2763.27,0.57822,0.31401,0.81195,0.989,1,0.98927,0.79661,0.82518,0.34202,0.84471,3.72991e-05,3.72991e-05,3.72991e-05
